cert,asset_16
3179,100800
3182,25185
3183,647465
3184,63653
3190,77185
3193,342274
3195,454907
3197,110369
3206,571884
3210,954606
3214,633272
3217,181924
3218,312605
3219,229987
3225,99094
3226,510182
3228,544795
3230,181328
3232,32086
3237,34704
3244,83936
3248,116457
3250,1737912
3255,200941
3256,765532
3268,255085
3269,455668
3275,245602
3276,1587816
3279,356062
3281,69857
3285,1507934
3286,491145
3289,221817
3292,313420
3293,129095
3301,301373
3302,160568
3303,21475
3304,843174
3305,354500
3320,123296
3325,761692
3327,109043
3330,246753
3335,61430
3336,34863
3337,229855
3339,334324
3342,151387
3351,48716
3355,204101
3358,93753
3363,2950506
3368,121656
3376,238779
3377,42537
3384,264641
3387,928051
3388,171215
3389,467049
3399,49453
3400,188479
3401,51021
3402,1198938
3405,488944
3430,5327271
3440,1166763
3502,213922
3510,1677490000
3511,1727235000
3514,83730044
3579,225101
3598,109681
3599,77148
3600,22070
3601,57565
3603,2227613
3607,114408
3612,337490
3614,270683
3615,54395
3628,19227800
3639,114682
3657,3776458
3658,137234
3661,277257
3664,865623
3671,54626
3674,142472
3677,231522
3688,62439
3691,215328
3693,58077
3698,82574
3701,429179
3702,153158
3705,2200305
3709,11254182
3711,461544
3713,269749
3719,278728
3720,172353
3722,441538
3723,81826
3732,606332
3744,970561
3745,61787
3747,318533
3749,116737
3759,231001
3761,65076
3762,104340
3770,37093
3775,940398
3777,403058
3787,608105
3792,494028
3799,272305
3805,45152
3807,107799
3808,93445
3809,1124422
3814,396239
3817,85069
3818,72570
3821,182243
3826,63426
3827,66863
3830,142442
3832,14759060
3834,44524
3837,77835
3840,319974
3842,453798
3845,81615
3846,172048
3850,41142
3854,189580
3857,2051121
3858,167770
3863,390954
3864,1252494
3869,439732
3873,393340
3887,1152152
3890,8376439
3896,208277
3897,282034
3902,143737
3914,260837
3919,64604
3931,2048652
3934,29408
3948,74370
3973,1357977
3977,75087
3985,23027
3999,258855
4009,983012
4016,1157709
4019,59224
4028,1480298
4029,628994
4031,316343
4032,577990
4033,491430
4037,491032
4041,109569
4042,422421
4048,755552
4049,164146
4050,183413
4051,46480
4054,39648
4056,88316
4059,134115
4061,117521
4062,523558
4063,13253239
4067,160076
4071,74493
4075,109858
4076,67780
4084,250703
4086,319213
4087,245381
4091,609800
4092,77465
4094,103978
4097,105741
4098,17409
4107,170682
4111,78239
4122,41474
4123,71928
4130,59000
4132,346453
4134,50932
4144,20478
4145,492575
4146,365549
4147,613819
4148,145714
4156,249003
4160,327157
4161,72521
4170,250009
4173,232491
4177,63644
4178,525194
4181,231346
4185,139778
4187,202597
4190,1072614
4193,97702
4196,113189
4199,108336
4201,2468717
4204,77816
4208,164323
4209,43570
4211,398672
4214,32160352
4217,42103
4218,374627
4219,282118
4222,46715
4228,193922
4232,81369
4235,196625
4236,289596
4239,5802485
4241,123933
4255,3842089
4256,1678542
4288,354249
4290,231089
4297,286080320
4318,200034
4319,431653
4324,298553
4360,3133166
4364,314816
4365,7178756
4382,2907949
4398,113198
4405,96611
4419,353997
4432,243295
4433,1238947
4439,400087
4440,72097
4444,241631
4457,42154
4464,151066
4465,408950
4471,64294
4476,42080
4477,83522
4482,82535
4494,33306
4506,952870
4511,211433
4514,115051
4519,358616
4526,154333
4533,920030
4534,1886572
4536,1763908
4537,2567353
4539,373499
4540,477027
4546,234069
4549,466578
4551,187679
4556,81284
4569,418245
4598,103056
4611,127078
4619,419043
4621,98743
4624,96859
4626,113220
4630,80277
4636,137802
4638,94518
4646,169289
4649,61952
4652,32111
4654,57761
4660,113281
4664,97033
4666,1091773
4668,42481
4672,81496
4673,649218
4675,96830
4678,173850
4683,13905
4690,83069
4693,54196
4697,701663
4702,969397
4705,791951
4707,226175
4717,319946
4722,110033
4728,25947
4735,114458
4736,95526
4738,194031
4739,138791
4746,300185
4748,60436
4751,475515
4752,56716
4756,209434
4760,99926
4766,101040
4767,1881666
4769,122785
4770,56406
4773,197550
4774,34888
4775,105998
4778,80514
4779,309701
4789,1573889
4791,181798
4792,81784
4794,78007
4796,60647
4799,4635908
4801,437234
4829,324490
4832,1133026
4857,1296916
4865,5079731
4931,619095
4945,149420
4951,252735
4952,495232
4958,209673
4960,112276
4972,1598928
4977,28351811
4988,13350429
4993,1315467
4999,9515975
5005,291404
5006,269171
5015,295806
5018,278628
5019,639528
5033,378516
5058,591113
5062,321490
5072,351119
5074,268928
5076,49295
5087,83886
5090,79402
5093,675849
5095,243565
5097,212213
5105,24253
5107,67722
5110,32965
5113,82215
5115,53517
5116,109446
5117,83532
5123,477650
5130,80497
5131,114612
5136,268433
5141,63695
5142,30348
5146,9266420
5150,35866
5151,395246
5162,114194
5170,818053
5175,19269
5180,90965
5186,165165
5190,99576
5193,414404
5196,30002
5197,90734
5198,201238
5214,91195
5216,566756
5218,174907
5219,279163
5221,62520
5223,242927
5229,200971
5232,23657
5247,197699
5249,218946
5252,205994
5268,57648
5269,515655
5270,132992
5271,306339
5278,44844
5280,294620
5283,126210
5285,1148368
5286,395570
5295,315354
5296,29070880
5297,194122
5304,1313174
5306,479297
5307,464233
5317,198980
5325,131022
5331,155319
5335,403503
5336,157074
5337,238085
5347,344014
5352,71777
5357,201689
5358,135949
5364,284728
5365,131745
5369,113126
5377,72617
5380,22589
5384,144711
5394,266675
5396,150606
5400,148616
5401,118773
5405,82709
5406,46874
5408,59969
5410,196236
5415,932952
5417,260312
5422,72222
5424,201734
5425,24183
5432,293790
5434,335929
5438,74695
5439,146978
5442,352030
5447,34010
5452,18938350
5460,131818
5469,180229
5472,254129
5473,233229
5475,85197
5478,46965
5486,217034
5490,147467
5495,322166
5496,1490790
5510,30223311
5518,58164
5520,47763
5525,170195
5529,647664
5531,346962
5536,161625
5538,166886
5544,627298
5546,56366
5548,196269
5551,1364695
