cert,docket,rssdhcr,fed_rssd,hctmult,name,city,stalp,zip,repdte,bkclass,nimy,roa,ntlnlsr,rbc1aaj,rbcrwaj
58697,18056,4564724,3603765,0,Adams Dairy Bank,Blue Springs,MO,64014,12/31/2016,NM,3.62845429851554,0.854766070237972,0,10.2315250050692,16.2803606726057
58699,0,0,3689385,0,Optima Bank & Trust Company,Portsmouth,NH,3801,12/31/2016,NM,3.00085723871046,0.529956544067867,0.10495113060436,7.044688849341,11.3063726184073
58700,18054,0,2180410,0,The Trust Company of Virginia,Richmond,VA,23235,12/31/2016,SA,2.08326757362457,16.9959088252484,,91.5581395348837,212.180005389383
58703,0,4500115,3642308,0,First Partners Bank,Birmingham,AL,35205,12/31/2016,NM,4.34411655518721,1.18236505414962,9.81511201676134E-02,11.601255413215,13.7071002962618
58705,0,4848358,3718548,0,First Landmark Bank,Marietta,GA,30060,12/31/2016,NM,3.936780539883,0.988519239988978,9.67219783627245E-03,9.28814504671207,11.0250714316089
58712,0,5010844,3729124,0,Freedom Bank,Maywood,NJ,7607,12/31/2016,NM,3.75914505934056,0.861458009951603,-8.99636546835079E-03,9.46138323134397,11.7078403177439
58714,0,3637582,3635533,0,Franklin Synergy Bank,Franklin,TN,37064,12/31/2016,SM,3.45350308587343,1.1817766155741,1.76344653634091E-02,11.222959775291,14.9228183742064
58716,0,4475473,3630323,0,"Third Coast Bank, SSB",Humble,TX,77338,12/31/2016,SB,4.89157103498344,0.759145201194208,0.1051492349752,9.41380805914443,11.515903051061
58719,0,4503901,3690596,0,Progress Bank and Trust,Huntsville,AL,35801,12/31/2016,NM,3.31371658479202,0.815006506478446,3.93692693955712E-02,9.65360494733541,10.9140661057531
58722,0,0,3719648,0,Meadows Bank,Las Vegas,NV,89148,12/31/2016,NM,5.17938173934863,1.47980353896977,0.031556307668677,10.7385465596479,12.2961807014385
58723,0,3636389,3636428,0,"Black Hills Community Bank, N.A.",Rapid City,SD,57701,12/31/2016,N,3.71262928141466,1.03997582413039,8.90797703404748E-03,11.1120382345715,14.165723829535
58724,18064,4181130,3614846,1,Nebraska Bank of Commerce,Lincoln,NE,68516,12/31/2016,NM,3.06720786185902,0.550762492744446,-3.36489929337115E-02,9.28193196405648,11.7152314287265
58725,0,3367094,3717167,1,Gateway Bank of Southwest Florida,Sarasota,FL,34236,12/31/2016,NM,3.43460433328443,0.885245562568729,-1.00814581821115E-03,9.10907840811044,13.5651173342189
58727,0,3637939,3614837,0,Access Bank,Omaha,NE,68114,12/31/2016,NM,3.76661789451093,0.636038006083727,2.85640458641898E-02,11.289820483553,13.4099681837608
58728,0,0,3750650,0,Suncrest Bank,Visalia,CA,93291,12/31/2016,NM,4.24466221654121,0.506437868577474,-6.31457175837249E-03,11.6996429132886,14.5239849650061
58732,0,3619140,3617856,0,Community State Bank,Lamar,CO,81052,12/31/2016,NM,4.42541659459148,1.72821333670472,0.041663837640654,14.8130773268997,19.9089235266834
58739,0,4400354,3619216,0,Texas Security Bank,Dallas,TX,75207,12/31/2016,NM,3.93016447515854,1.15848619439172,3.43637100894144E-03,9.94331774644745,12.8637597161849
58741,18058,0,3664588,0,Fieldpoint Private Bank & Trust,Greenwich,CT,6830,12/31/2016,SA,2.59848657265457,0.407790726867027,0,10.1043238782219,16.1874678666554
58743,0,0,3627109,0,Frontier Community Bank,Waynesboro,VA,22980,12/31/2016,SM,3.35463455983409,0.503932803800872,0,11.1793069002613,16.7612803496709
58745,0,1107830,3623969,1,"First New Mexico Bank, Las Cruces",Las Cruces,NM,88011,12/31/2016,NM,4.43266054324658,1.23636529820478,0.127734895348625,12.8052859797646,24.0860974927491
58750,0,3717569,3717578,0,Resurgens Bank,Tucker,GA,30084,12/31/2016,NM,4.41514915750358,1.61550262163765,0,11.6893688946335,14.7092915098525
